name,url,sector,category,source_list,valid,http_status,notes
AWS Machine Learning,https://aws.amazon.com/blogs/machine-learning/feed/,ai-dev,news,feeds.py,,,
AWS DevOps,https://aws.amazon.com/blogs/devops/feed/,ai-dev,news,feeds.py,,,
Meta Engineering,https://engineering.fb.com/feed,ai-dev,news,feeds.py,,,
Nanonets Blog,https://nanonets.com/blog/rss,ai-dev,news,feeds.py,,,
Kubernetes Blog,https://kubernetes.io/feed.xml,ai-dev,news,feeds.py,,,
HashiCorp Blog,https://www.hashicorp.com/blog/feed.xml,ai-dev,news,feeds.py,,,
Databricks Docs,https://docs.databricks.com/aws/en/feed.xml,ai-dev,news,feeds.py,,,
arXiv cs.LG (ML),https://arxiv.org/rss/cs.LG,ai-dev,news,feeds.py,,,
arXiv stat.ML,https://arxiv.org/rss/stat.ML,ai-dev,news,feeds.py,,,
Product Hunt,https://www.producthunt.com/feed,ai-dev,news,feeds.py,,,
ByteByteGo,https://blog.bytebytego.com/feed,ai-dev,news,feeds.py,,,
Hacker News Front Page,https://hnrss.org/frontpage,ai-dev,news,feeds.py,,,
The Hacker News,https://feeds.feedburner.com/TheHackersNews,security,news,feeds.py,,,
Krebs on Security,https://krebsonsecurity.com/feed/,security,news,feeds.py,,,
Dark Reading,https://www.darkreading.com/rss.xml,security,news,feeds.py,,,
Palo Alto Unit 42,https://unit42.paloaltonetworks.com/feed/,security,news,feeds.py,,,
Threatpost,https://threatpost.com/feed/,security,news,feeds.py,,,
Infosecurity Magazine,https://www.infosecurity-magazine.com/rss/news/,security,news,feeds.py,,,
Microsoft Security,https://api.msrc.microsoft.com/update-guide/rss,security,news,feeds.py,,,
The Verge Security,https://www.theverge.com/rss/cyber-security/index.xml,security,news,feeds.py,,,
MIRI Blog,https://intelligence.org/feed/,ai-updates,news,feedspot,YES,200,NEW — assign sector
O'Reilly Media - AI & ML,https://www.oreilly.com/radar/topics/ai-ml/feed/index.xml,ai-updates,news,feedspot,YES,200,NEW — assign sector
KDnuggets,https://www.kdnuggets.com/feed,ai-dev,news,feedspot+github,YES,200,NEW — assign sector
Financial Times - AI,https://www.ft.com/artificial-intelligence?format=rss,ai-business,news,feedspot,YES,200,NEW — assign sector
The New York Times - AI,https://www.nytimes.com/svc/collections/v1/publish/https://www.nytimes.com/spotlight/artificial-intelligence/rss.xml,ai-updates,news,feedspot,YES,200,NEW — assign sector
WIRED - Artificial Intelligence,https://www.wired.com/feed/tag/ai/latest/rss,ai-updates,news,feedspot+github,YES,200,NEW — assign sector
Ars Technica - AI,https://arstechnica.com/ai/feed/,ai-updates,news,feedspot,YES,200,NEW — assign sector
The Guardian - AI,https://www.theguardian.com/technology/artificialintelligenceai/rss,ai-updates,news,feedspot+github,YES,200,NEW — assign sector
Science News - AI,https://www.sciencenews.org/topic/artificial-intelligence/feed,ai-updates,news,feedspot,YES,200,NEW — assign sector
ScienceDaily - AI News,https://www.sciencedaily.com/rss/computers_math/artificial_intelligence.xml,ai-updates,news,feedspot+github,YES,200,NEW — assign sector
Microsoft - AI,https://news.microsoft.com/source/topics/ai/feed/,ai-business,news,feedspot,YES,200,NEW — assign sector
AWS News Blog - AI,https://aws.amazon.com/blogs/aws/category/artificial-intelligence/feed/,ai-updates,news,feedspot,YES,200,NEW — assign sector
InfoWorld - AI,https://www.infoworld.com/artificial-intelligence/feed/,ai-business,news,feedspot,YES,200,NEW — assign sector
Computerworld - AI,https://www.computerworld.com/artificial-intelligence/feed/,ai-business,news,feedspot,YES,200,NEW — assign sector
Fast Company - AI,https://www.fastcompany.com/section/artificial-intelligence/rss,ai-business,news,feedspot,YES,200,NEW — assign sector
Live Science - AI,https://www.livescience.com/feeds/tag/artificial-intelligence,ai-updates,news,feedspot,YES,200,NEW — assign sector
Government Technology - AI,https://www.govtech.com/artificial-intelligence.rss,ai-business,news,feedspot,YES,200,NEW — assign sector
Analytics Vidhya Blog,https://www.analyticsvidhya.com/feed/,ai-dev,news,feedspot,YES,200,NEW — assign sector
Machine Learning Mastery Blog,https://machinelearningmastery.com/blog/feed/,ai-dev,news,feedspot+github,YES,200,NEW — assign sector
AI Weekly,https://aiweekly.co/issues.rss,ai-updates,news,feedspot,YES,200,NEW — assign sector
AIhub,https://aihub.org/feed/?cat=-473,ai-updates,news,feedspot,YES,200,NEW — assign sector
AI Summer,https://theaisummer.com/feed.xml,ai-updates,news,feedspot,YES,200,NEW — assign sector
RStudio AI Blog,https://blogs.rstudio.com/ai/index.xml,ai-updates,news,feedspot,YES,200,NEW — assign sector
DataRobot Blog,https://www.datarobot.com/blog/feed/,ai-updates,news,feedspot,YES,200,NEW — assign sector
SAS - AI,https://blogs.sas.com/content/topic/artificial-intelligence/feed/,ai-updates,news,feedspot,YES,200,NEW — assign sector
Big Data Analytics News - AI,https://bigdataanalyticsnews.com/category/artificial-intelligence/feed/,ai-business,news,feedspot,YES,200,NEW — assign sector
Unite.AI,https://www.unite.ai/feed/,ai-updates,news,feedspot+github,YES,200,NEW — assign sector
AIwire,https://www.aiwire.net/feed/,ai-updates,news,feedspot,YES,200,NEW — assign sector
Crunchbase News - AI,https://news.crunchbase.com/sections/ai/feed/,ai-business,news,feedspot,YES,200,NEW — assign sector
eWeek - AI,https://www.eweek.com/feed/,ai-business,news,feedspot,YES,200,NEW — assign sector
France 24 - AI,https://www.france24.com/en/tag/artificial-intelligence/rss,ai-business,news,feedspot,YES,200,NEW — assign sector
The Indian Express - AI,https://indianexpress.com/section/technology/artificial-intelligence/feed/,ai-updates,news,feedspot,YES,200,NEW — assign sector
Mint - AI,https://www.livemint.com/rss/AI,ai-business,news,feedspot,YES,200,NEW — assign sector
GeekWire - AI,https://www.geekwire.com/tag/ai/feed/,ai-business,news,feedspot,YES,200,NEW — assign sector
Adweek - AI,https://www.adweek.com/category/artificial-intelligence/feed/,ai-business,news,feedspot,YES,200,NEW — assign sector
Artificial Lawyer,https://www.artificiallawyer.com/feed/,ai-business,news,feedspot,YES,200,NEW — assign sector
Marketing AI Institute Blog,https://www.marketingaiinstitute.com/blog/rss.xml,ai-business,news,feedspot,YES,200,NEW — assign sector
Data Machina,https://datamachina.substack.com/feed,ai-dev,news,feedspot+github,YES,200,NEW — assign sector
Another Datum,https://anotherdatum.com/feeds/all.atom.xml?format=xml,ai-updates,news,feedspot,YES,200,NEW — assign sector
Dan Rose AI Blog,https://www.danrose.ai/blog?format=rss,ai-updates,news,feedspot,YES,200,NEW — assign sector
Kavita Ganesan,http://kavita-ganesan.com/feed/,ai-updates,news,feedspot,YES,200,NEW — assign sector
DatumBox,http://blog.datumbox.com/feed/,ai-updates,news,feedspot,YES,200,NEW — assign sector
Digital Thought Disruption,https://digitalthoughtdisruption.com/feed/,ai-updates,news,feedspot,YES,200,NEW — assign sector
Becoming Human,https://becominghuman.ai/feed,ai-updates,news,feedspot,YES,200,NEW — assign sector
AI Time Journal,https://www.aitimejournal.com/feed/,ai-updates,news,feedspot,YES,200,NEW — assign sector
Contextual AI Blog,https://contextual.ai/blog/feed/,ai-updates,news,feedspot,YES,200,NEW — assign sector
Clarifai Blog,https://www.clarifai.com/blog/rss.xml,ai-updates,news,feedspot,YES,200,NEW — assign sector
Kore.ai,https://blog.kore.ai/rss.xml,ai-updates,news,feedspot,YES,200,NEW — assign sector
Unbabel Blog,https://unbabel.com/category/blog/feed/,ai-updates,news,feedspot,YES,200,NEW — assign sector
Qudata,https://qudata.com/en/news/rss.xml,ai-updates,news,feedspot,YES,200,NEW — assign sector
ELEDIA E-AIR,http://www.eledia.org/e-air/feed/,ai-updates,news,feedspot,YES,200,NEW — assign sector
DLabs.AI Blog,https://dlabs.ai/feed/,ai-updates,news,feedspot,YES,200,NEW — assign sector
DeepCognition.ai Blog,https://deepcognition.ai/feed/,ai-updates,news,feedspot,YES,200,NEW — assign sector
DailyAI,https://dailyai.com/feed/,ai-updates,news,feedspot,YES,200,NEW — assign sector
AI Insider,https://theaiinsider.tech/feed/,ai-updates,news,feedspot,YES,200,NEW — assign sector
Just AI News,https://justainews.com/feed/,ai-updates,news,feedspot,YES,200,NEW — assign sector
AI 2 People,https://ai2people.com/feed/,ai-updates,news,feedspot,YES,200,NEW — assign sector
Zeroth Principles of AI,https://zerothprinciples.substack.com/feed,ai-updates,news,feedspot,YES,200,NEW — assign sector
Marek Rosa / GoodAI Blog,https://blog.marekrosa.org/feed/,ai-updates,news,feedspot,YES,200,NEW — assign sector
MetaDevo AI Blog,https://metadevo.com/feed/,ai-dev,news,feedspot,YES,200,NEW — assign sector
TechSpective - AI,https://techspective.net/category/technology/artificial-intelligence/feed/,ai-updates,news,feedspot,YES,200,NEW — assign sector
NeuroSYS Blog - AI,https://neurosys.com/blog/category/ai/feed,ai-updates,news,feedspot,YES,200,NEW — assign sector
Fusemachines Insights,https://insights.fusemachines.com/feed/,ai-updates,news,feedspot,YES,200,NEW — assign sector
Vectra AI Blog,https://www.vectra.ai/blog/rss.xml,ai-updates,news,feedspot,YES,200,NEW — assign sector
Copyleaks Blog,https://copyleaks.com/blog/feed,ai-updates,news,feedspot,YES,200,NEW — assign sector
GPTZero Blog,https://gptzero.me/news/rss/,ai-updates,news,feedspot,YES,200,NEW — assign sector
Isentia,https://www.isentia.com/feed/,ai-updates,news,feedspot,YES,200,NEW — assign sector
viAct.ai Blog,https://www.viact.ai/blog-feed.xml,ai-updates,news,feedspot,YES,200,NEW — assign sector
Yseop Blog,https://yseop.com/category/blog/feed/,ai-updates,news,feedspot,YES,200,NEW — assign sector
SAAL,https://saal.ai/feed/,ai-updates,news,feedspot,YES,200,NEW — assign sector
KocharTech,https://www.kochartech.com/feed/,ai-updates,news,feedspot,YES,200,NEW — assign sector
Spritle Blog,https://www.spritle.com/blog/feed/,ai-updates,news,feedspot,YES,200,NEW — assign sector
Shaip Blog,https://www.shaip.com/feed/,ai-updates,news,feedspot,YES,200,NEW — assign sector
Cogito Tech Blog,https://www.cogitotech.com/feed/,ai-updates,news,feedspot,YES,200,NEW — assign sector
Artisse AI Blog,https://artisse.ai/feed/,ai-updates,news,feedspot,YES,200,NEW — assign sector
Dxcover Blog,https://www.dxcover.com/feed/,ai-updates,news,feedspot,YES,200,NEW — assign sector
Neysa Newsroom,https://neysa.ai/feed/,ai-updates,news,feedspot,YES,200,NEW — assign sector
Pandio Blog,https://pandio.com/feed/,ai-updates,news,feedspot,YES,200,NEW — assign sector
Yatter Blog,https://yatter.in/feed/,ai-updates,news,feedspot,YES,200,NEW — assign sector
AI Revolution Blog,https://airevolution.blog/feed/,ai-updates,news,feedspot,YES,200,NEW — assign sector
AICorr.com,https://aicorr.com/feed/,ai-updates,news,feedspot,YES,200,NEW — assign sector
1redDrop - AI,https://1reddrop.com/category/artificial-intelligence/feed/,ai-business,news,feedspot,YES,200,NEW — assign sector
Top Marketing AI,https://topmarketingai.com/feed/,ai-business,news,feedspot,YES,200,NEW — assign sector
Edmonton Journal - AI,https://edmontonjournal.com/tag/artificial-intelligence/feed.xml,ai-business,news,feedspot,YES,200,NEW — assign sector
Scripps News - AI,https://www.scrippsnews.com/science-and-tech/artificial-intelligence.rss,ai-business,news,feedspot,YES,200,NEW — assign sector
AI nyheter (aitool.se),https://nyheter.aitool.se/feed/,ai-updates,news,feedspot,YES,200,NEW — assign sector
Robot Writers AI,https://robotwritersai.com/feed/,ai-updates,news,feedspot,YES,200,NEW — assign sector
Francesco Corea (Medium),https://medium.com/feed/@Francesco_AI,ai-updates,news,feedspot,YES,200,NEW — assign sector
Archie.AI (Medium),https://medium.com/feed/archieai,ai-updates,news,feedspot,YES,200,NEW — assign sector
Artificial-Intelligence.Blog,https://www.artificial-intelligence.blog/ai-news?format=rss,ai-updates,news,feedspot,YES,200,NEW — assign sector
AIIOT Talk,https://www.aiiottalk.com/feed/,ai-updates,news,feedspot,YES,200,NEW — assign sector
Computational Intelligence (Blogspot),http://computational-intelligence.blogspot.com/feeds/posts/default,ai-updates,news,feedspot,YES,200,NEW — assign sector
Cisco Blogs - AI,https://blogs.cisco.com/ai/feed,ai-updates,news,feedspot,YES,200,NEW — assign sector
AWS Blog - Machine Learning/AI,https://aws.amazon.com/blogs/machine-learning/category/artificial-intelligence/feed/,ai-dev,news,feedspot,YES,200,NEW — assign sector
AI for Good Blog,https://aiforgood.itu.int/feed/,ai-updates,news,feedspot,YES,200,NEW — assign sector
Theodo Data & AI Blog,https://data-ai.theodo.com/en/technical-blog/rss.xml,ai-dev,news,feedspot,YES,200,NEW — assign sector
Analytics India Magazine - AI News,https://analyticsindiamag.com/ai-news-updates/feed/,ai-updates,news,feedspot,YES,200,NEW — assign sector
The Conversation - AI,https://theconversation.com/topics/artificial-intelligence-ai-90/articles.atom,ai-updates,news,feedspot,YES,200,NEW — assign sector
Federal News Network - AI,https://federalnewsnetwork.com/category/technology-main/artificial-intelligence/feed/,ai-business,news,feedspot,YES,200,NEW — assign sector
Berkshire Grey Blog,https://www.berkshiregrey.com/feed/,ai-updates,news,feedspot,YES,200,NEW — assign sector
404 Media,https://www.404media.co/rss,ai-updates,news,github,YES,200,NEW — assign sector
Ahead of AI,https://magazine.sebastianraschka.com/feed,ai-updates,news,github,YES,200,NEW — assign sector
AI Accelerator Institute,https://aiacceleratorinstitute.com/rss/,ai-updates,news,github,YES,200,NEW — assign sector
AI – AI-TechPark,https://ai-techpark.com/category/ai/feed/,ai-business,news,github,YES,200,NEW — assign sector
AI Business,https://aibusiness.com/rss.xml,ai-business,news,github,YES,200,NEW — assign sector
AIModels.fyi,https://aimodels.substack.com/feed,ai-updates,news,github,YES,200,NEW — assign sector
AI Now Institute,https://ainowinstitute.org/category/news/feed,ai-business,news,github,YES,200,NEW — assign sector
AI – SiliconANGLE,https://siliconangle.com/category/ai/feed,ai-updates,news,github,YES,200,NEW — assign sector
AI Snake Oil,https://aisnakeoil.substack.com/feed,ai-updates,news,github,YES,200,NEW — assign sector
Anaconda Blog,https://www.anaconda.com/blog/feed,ai-updates,news,github,YES,200,NEW — assign sector
Analytics India Magazine,https://analyticsindiamag.com/feed/,ai-updates,news,github,YES,200,NEW — assign sector
Artificial intelligence – The Conversation (EU),https://theconversation.com/europe/topics/artificial-intelligence-ai-90/articles.atom,ai-updates,news,github,YES,200,NEW — assign sector
Artificial intelligence – SpaceNews,https://spacenews.com/tag/artificial-intelligence/feed/,ai-updates,news,github,YES,200,NEW — assign sector
Artificial Intelligence – Futurism,https://futurism.com/categories/ai-artificial-intelligence/feed,ai-updates,news,github,YES,200,NEW — assign sector
Artificial Intelligence – TechRepublic,https://www.techrepublic.com/rssfeeds/topic/artificial-intelligence/,ai-updates,news,github,YES,200,NEW — assign sector
Big Data – SiliconANGLE,https://siliconangle.com/category/big-data/feed,ai-updates,news,github,YES,200,NEW — assign sector
David Stutz Blog,https://davidstutz.de/category/blog/feed,ai-dev,news,github,YES,200,NEW — assign sector
Blog Content – TOGETHER,https://www.together.xyz/blog?format=rss,ai-dev,news,github,YES,200,NEW — assign sector
Blog – neptune.ai,https://neptune.ai/blog/feed,ai-dev,news,github,YES,200,NEW — assign sector
EleutherAI Blog,https://blog.eleuther.ai/index.xml,ai-dev,news,github,YES,200,NEW — assign sector
Blog – PyImageSearch,https://pyimagesearch.com/blog/feed,ai-dev,news,github,YES,200,NEW — assign sector
Bloomberg Technology,https://feeds.bloomberg.com/technology/news.rss,ai-business,news,github,YES,200,NEW — assign sector
Business Insider,https://feeds.businessinsider.com/custom/all,ai-business,news,github,YES,200,NEW — assign sector
Business Latest (WIRED),https://www.wired.com/feed/category/business/latest/rss,ai-business,news,github,YES,200,NEW — assign sector
Chain of Thought (every.to),https://every.to/chain-of-thought/feed.xml,ai-updates,news,github,YES,200,NEW — assign sector
Chip Huyen,https://huyenchip.com/feed,ai-dev,news,github,YES,200,NEW — assign sector
Context by Cohere,https://txt.cohere.ai/rss/,ai-dev,news,github,YES,200,NEW — assign sector
Crunchbase News,https://news.crunchbase.com/feed,ai-business,news,github,YES,200,NEW — assign sector
cs.CV updates on arXiv.org,https://arxiv.org/rss/cs.CV,ai-dev,news,github,YES,200,NEW — assign sector
DagsHub Blog,https://dagshub.com/blog/rss/,ai-dev,news,github,YES,200,NEW — assign sector
Dark Reading,https://www.darkreading.com/rss_simple.asp,security,news,github,YES,200,NEW — assign sector
Datafloq,https://datafloq.com/feed/?post_type=post,ai-business,news,github,YES,200,NEW — assign sector
Datanami,https://www.datanami.com/feed/,ai-business,news,github,YES,200,NEW — assign sector
DebuggerCafe,https://debuggercafe.com/feed/,ai-dev,news,github,YES,200,NEW — assign sector
Deephaven Blog,https://deephaven.io/blog/rss.xml,ai-dev,news,github,YES,200,NEW — assign sector
DeepMind Blog,https://deepmind.com/blog/feed/basic/,ai-updates,news,github,YES,200,NEW — assign sector
Deep Tech – Tech.eu,https://tech.eu/category/deep-tech/feed,ai-business,news,github,YES,200,NEW — assign sector
Department of Product,https://departmentofproduct.substack.com/feed,ai-updates,news,github,YES,200,NEW — assign sector
DEV Community,https://dev.to/feed,ai-dev,news,github,YES,200,NEW — assign sector
EE Times,https://www.eetimes.com/feed,ai-updates,news,github,YES,200,NEW — assign sector
Engadget,https://www.engadget.com/rss.xml,ai-updates,news,github,YES,200,NEW — assign sector
Eugene Yan,https://eugeneyan.com/rss/,ai-dev,news,github,YES,200,NEW — assign sector
Explosion,https://explosion.ai/feed,ai-dev,news,github,YES,200,NEW — assign sector
Freethink,https://www.freethink.com/feed/all,ai-updates,news,github,YES,200,NEW — assign sector
Generational,https://www.generational.pub/feed,ai-updates,news,github,YES,200,NEW — assign sector
Forrester – AI,https://www.forrester.com/blogs/category/artificial-intelligence-ai/feed,ai-business,news,github,YES,200,NEW — assign sector
gHacks Technology News,https://www.ghacks.net/feed/,ai-updates,news,github,YES,200,NEW — assign sector
Gizmodo,https://gizmodo.com/rss,ai-updates,news,github,YES,200,NEW — assign sector
Global News – AI,https://globalnews.ca/tag/artificial-intelligence/feed,ai-business,news,github,YES,200,NEW — assign sector
Google AI Blog,http://googleaiblog.blogspot.com/atom.xml,ai-updates,news,github,YES,200,NEW — assign sector
Gradient Flow,https://gradientflow.com/feed/,ai-dev,news,github,YES,200,NEW — assign sector
Hacker Noon – AI,https://hackernoon.com/tagged/ai/feed,security,news,github,YES,200,NEW — assign sector
HealthTech Magazine,https://feeds.feedburner.com/HealthTechMagazine,ai-updates,news,github,YES,200,NEW — assign sector
IEEE Spectrum – AI,https://spectrum.ieee.org/feeds/topic/artificial-intelligence.rss,ai-business,news,github,YES,200,NEW — assign sector
"InfoQ – AI, ML & Data Engineering",https://feed.infoq.com/ai-ml-data-eng/,ai-dev,news,github,YES,200,NEW — assign sector
InfoWorld Analytics,https://www.infoworld.com/category/analytics/index.rss,ai-updates,news,github,YES,200,NEW — assign sector
InfoWorld Machine Learning,https://www.infoworld.com/category/machine-learning/index.rss,ai-dev,news,github,YES,200,NEW — assign sector
Interconnects,https://www.interconnects.ai/feed,ai-dev,news,github,YES,200,NEW — assign sector
International Business Times,https://www.ibtimes.com/rss,ai-business,news,github,YES,200,NEW — assign sector
JMLR,https://www.jmlr.org/jmlr.xml,ai-dev,news,github,YES,200,NEW — assign sector
LangChain,https://blog.langchain.dev/rss/,ai-dev,news,github,YES,200,NEW — assign sector
Last Week in AI,https://lastweekin.ai/feed,ai-updates,news,github,YES,200,NEW — assign sector
Latent Space,https://www.latent.space/feed,ai-dev,news,github,YES,200,NEW — assign sector
Latest from Sifted,https://sifted.eu/feed/?post_type=article,ai-business,news,github,YES,200,NEW — assign sector
ZDNET – AI,https://www.zdnet.com/topic/artificial-intelligence/rss.xml,ai-business,news,github,YES,200,NEW — assign sector
ZDNET – Big Data,https://www.zdnet.com/topic/big-data/rss.xml,ai-business,news,github,YES,200,NEW — assign sector
Lightning AI,https://lightning.ai/pages/feed/,ai-dev,news,github,YES,200,NEW — assign sector
Machine learning – Nature,https://www.nature.com/subjects/machine-learning.rss,ai-updates,news,github,YES,200,NEW — assign sector
Microsoft Research,https://www.microsoft.com/en-us/research/feed/,ai-business,news,github,YES,200,NEW — assign sector
Mila,https://mila.quebec/en/feed/,ai-dev,news,github,YES,200,NEW — assign sector
MIT News – Machine Learning,https://news.mit.edu/topic/mitmachine-learning-rss.xml,ai-updates,news,github,YES,200,NEW — assign sector
Mozilla Foundation Blog,https://foundation.mozilla.org/en/blog/rss/,ai-updates,news,github,YES,200,NEW — assign sector
New Scientist – Technology,https://www.newscientist.com/subject/technology/feed/,ai-updates,news,github,YES,200,NEW — assign sector
News on AI/ML – TechXplore (phys.org),https://phys.org/rss-feed/technology-news/machine-learning-ai/,ai-updates,news,github,YES,200,NEW — assign sector
News on AI/ML – TechXplore,https://techxplore.com/rss-feed/machine-learning-ai-news/,ai-updates,news,github,YES,200,NEW — assign sector
Nicholas Carlini,https://nicholas.carlini.com/writing/feed.xml,ai-dev,news,github,YES,200,NEW — assign sector
One Useful Thing,https://www.oneusefulthing.org/feed,ai-updates,news,github,YES,200,NEW — assign sector
Paperspace Blog,https://blog.paperspace.com/rss/,ai-dev,news,github,YES,200,NEW — assign sector
PetaPixel,https://petapixel.com/feed,ai-updates,news,github,YES,200,NEW — assign sector
Max Woolf's Blog,https://minimaxir.com/post/index.xml,ai-dev,news,github,YES,200,NEW — assign sector
Quanta Magazine,https://api.quantamagazine.org/feed,ai-updates,news,github,YES,200,NEW — assign sector
Radix – Medium,https://medium.com/feed/radix-ai-blog,ai-updates,news,github,YES,200,NEW — assign sector
R-bloggers,https://feeds.feedburner.com/RBloggers,ai-dev,news,github,YES,200,NEW — assign sector
Replicate Blog,https://replicate.com/blog/rss,ai-dev,news,github,YES,200,NEW — assign sector
Rest of World – Latest Stories,https://restofworld.org/feed/latest,ai-business,news,github,YES,200,NEW — assign sector
Robotics Research News – ScienceDaily,https://www.sciencedaily.com/rss/computers_math/robotics.xml,ai-updates,news,github,YES,200,NEW — assign sector
Robotics – Tech.eu,https://tech.eu/category/robotics/feed,ai-business,news,github,YES,200,NEW — assign sector
Scientific American,http://rss.sciam.com/ScientificAmerican-Global,ai-updates,news,github,YES,200,NEW — assign sector
SemiAnalysis,https://www.semianalysis.com/feed,ai-dev,news,github,YES,200,NEW — assign sector
Silicon Republic,https://www.siliconrepublic.com/feed,ai-business,news,github,YES,200,NEW — assign sector
Simon Willison's Weblog,https://simonwillison.net/atom/everything/,ai-dev,news,github,YES,200,NEW — assign sector
Stack Overflow Blog,https://stackoverflow.blog/feed/,ai-dev,news,github,YES,200,NEW — assign sector
Stanford CRFM,https://crfm.stanford.edu/feed,ai-dev,news,github,YES,200,NEW — assign sector
Netflix Technology Blog – Medium,https://medium.com/feed/@netflixtechblog,ai-updates,news,github,YES,200,NEW — assign sector
ODSC – Medium,https://medium.com/feed/@odsc,ai-updates,news,github,YES,200,NEW — assign sector
Synced,https://syncedreview.com/feed,ai-updates,news,github,YES,200,NEW — assign sector
Synthedia,https://synthedia.substack.com/feed,ai-updates,news,github,YES,200,NEW — assign sector
Techmeme,https://www.techmeme.com/feed.xml,ai-business,news,github,YES,200,NEW — assign sector
Tech Monitor,https://techmonitor.ai/feed,ai-business,news,github,YES,200,NEW — assign sector
TechTalks,https://bdtechtalks.com/feed/,ai-updates,news,github,YES,200,NEW — assign sector
The Algorithmic Bridge,https://thealgorithmicbridge.substack.com/feed,ai-updates,news,github,YES,200,NEW — assign sector
THE DECODER,https://the-decoder.com/feed/,ai-updates,news,github,YES,200,NEW — assign sector
The Gradient,https://thegradient.pub/rss/,ai-updates,news,github,YES,200,NEW — assign sector
The Intrinsic Perspective,https://www.theintrinsicperspective.com/feed/,ai-updates,news,github,YES,200,NEW — assign sector
The New Stack,https://thenewstack.io/feed,ai-dev,news,github,YES,200,NEW — assign sector
The Next Web (Neural),https://thenextweb.com/neural/feed,ai-updates,news,github,YES,200,NEW — assign sector
The Register – AI,https://www.theregister.com/software/ai_ml/headlines.atom,ai-updates,news,github,YES,200,NEW — assign sector
TheSequence,https://thesequence.substack.com/feed,ai-updates,news,github,YES,200,NEW — assign sector
The TensorFlow Blog,https://blog.tensorflow.org/feeds/posts/default?alt=rss,ai-dev,news,github,YES,200,NEW — assign sector
The Verge – All Posts,https://www.theverge.com/rss/index.xml,ai-updates,news,github,YES,200,NEW — assign sector
Towards AI – Medium,https://pub.towardsai.net/feed,ai-dev,news,github,YES,200,NEW — assign sector
Unwind AI,https://unwindai.substack.com/feed,ai-updates,news,github,YES,200,NEW — assign sector
Visual Studio Magazine,https://visualstudiomagazine.com/rss-feeds/news.aspx,ai-updates,news,github,YES,200,NEW — assign sector
Voicebot.ai,https://voicebot.ai/feed/,ai-updates,news,github,YES,200,NEW — assign sector
