name,url,sector,status,http_code,total_entries,newest_article_date,days_since_last,note
OpenAI Blog,https://openai.com/news/rss.xml,ai-updates,ACTIVE,200,891,2026-03-19,2,
PetaPixel,https://petapixel.com/feed,ai-updates,ACTIVE,200,20,2026-03-21,0,
Quanta Magazine,https://api.quantamagazine.org/feed,ai-updates,ACTIVE,200,5,2026-03-20,1,
Qudata,https://qudata.com/en/news/rss.xml,ai-updates,ACTIVE,200,10,2026-03-13,8,
Robot Writers AI,https://robotwritersai.com/feed/,ai-updates,ACTIVE,200,10,2026-03-16,5,
Robotics Research News – ScienceDaily,https://www.sciencedaily.com/rss/computers_math/robotics.xml,ai-updates,ACTIVE,200,60,2026-03-18,3,
SAS - AI,https://blogs.sas.com/content/topic/artificial-intelligence/feed/,ai-updates,ACTIVE,200,10,2026-03-20,1,
Science News - AI,https://www.sciencenews.org/topic/artificial-intelligence/feed,ai-updates,ACTIVE,200,20,2026-03-12,9,
ScienceDaily - AI News,https://www.sciencedaily.com/rss/computers_math/artificial_intelligence.xml,ai-updates,ACTIVE,200,60,2026-03-18,3,
Scientific American,http://rss.sciam.com/ScientificAmerican-Global,ai-updates,ACTIVE,200,50,2026-03-21,0,
Shaip Blog,https://www.shaip.com/feed/,ai-updates,ACTIVE,200,100,2026-03-10,11,
Spritle Blog,https://www.spritle.com/blog/feed/,ai-updates,ACTIVE,200,3,2026-03-20,1,
TechSpective - AI,https://techspective.net/category/technology/artificial-intelligence/feed/,ai-updates,ACTIVE,200,10,2026-03-04,17,
TechTalks,https://bdtechtalks.com/feed/,ai-updates,ACTIVE,200,50,2026-03-16,5,
The Algorithmic Bridge,https://thealgorithmicbridge.substack.com/feed,ai-updates,ACTIVE,200,20,2026-03-19,1,
The Conversation - AI,https://theconversation.com/topics/artificial-intelligence-ai-90/articles.atom,ai-updates,ACTIVE,200,25,2026-03-20,1,
THE DECODER,https://the-decoder.com/feed/,ai-updates,ACTIVE,200,10,2026-03-21,0,
The Guardian - AI,https://www.theguardian.com/technology/artificialintelligenceai/rss,ai-updates,ACTIVE,200,20,2026-03-21,0,
The Indian Express - AI,https://indianexpress.com/section/technology/artificial-intelligence/feed/,ai-updates,ACTIVE,200,200,2026-03-21,0,
The Intrinsic Perspective,https://www.theintrinsicperspective.com/feed/,ai-updates,ACTIVE,200,20,2026-03-19,2,
The New York Times - AI,https://www.nytimes.com/svc/collections/v1/publish/https://www.nytimes.com/spotlight/artificial-intelligence/rss.xml,ai-updates,ACTIVE,200,19,2026-03-21,0,
The Next Web (Neural),https://thenextweb.com/neural/feed,ai-updates,ACTIVE,200,10,2026-03-20,0,
The Register – AI,https://www.theregister.com/software/ai_ml/headlines.atom,ai-updates,ACTIVE,200,50,2026-03-20,0,
The Verge AI,https://www.theverge.com/rss/ai-artificial-intelligence/index.xml,ai-updates,ACTIVE,200,10,2026-03-21,0,
The Verge Tech,https://www.theverge.com/rss/tech/index.xml,ai-updates,ACTIVE,200,10,2026-03-21,0,
The Verge – All Posts,https://www.theverge.com/rss/index.xml,ai-updates,ACTIVE,200,10,2026-03-21,0,
TheSequence,https://thesequence.substack.com/feed,ai-updates,ACTIVE,200,20,2026-03-19,2,
Vectra AI Blog,https://www.vectra.ai/blog/rss.xml,ai-updates,ACTIVE,200,100,2026-03-19,2,
viAct.ai Blog,https://www.viact.ai/blog-feed.xml,ai-updates,ACTIVE,200,20,2026-03-20,1,
Visual Studio Magazine,https://visualstudiomagazine.com/rss-feeds/news.aspx,ai-updates,ACTIVE,200,60,2026-03-19,1,
Windows Blog,https://blogs.windows.com/feed,ai-updates,ACTIVE,200,10,2026-03-20,0,
WIRED - Artificial Intelligence,https://www.wired.com/feed/tag/ai/latest/rss,ai-updates,ACTIVE,200,10,2026-03-21,0,
Yseop Blog,https://yseop.com/category/blog/feed/,ai-updates,ACTIVE,200,10,2026-03-05,16,
AI nyheter (aitool.se),https://nyheter.aitool.se/feed/,ai-updates,STALE,200,8,2026-01-22,58,Last article 58 days ago
AI Revolution Blog,https://airevolution.blog/feed/,ai-updates,STALE,200,10,2024-08-08,590,Last article 590 days ago
AI Summer,https://theaisummer.com/feed.xml,ai-updates,STALE,200,107,2024-09-26,541,Last article 541 days ago
AIIOT Talk,https://www.aiiottalk.com/feed/,ai-updates,STALE,200,5,2026-02-17,32,Last article 32 days ago
Another Datum,https://anotherdatum.com/feeds/all.atom.xml?format=xml,ai-updates,STALE,200,30,2020-06-03,2116,Last article 2116 days ago
Archie.AI (Medium),https://medium.com/feed/archieai,ai-updates,STALE,200,10,2020-08-17,2042,Last article 2042 days ago
Artificial-Intelligence.Blog,https://www.artificial-intelligence.blog/ai-news?format=rss,ai-updates,STALE,200,20,2025-12-11,99,Last article 99 days ago
Artisse AI Blog,https://artisse.ai/feed/,ai-updates,STALE,200,10,2024-05-29,661,Last article 661 days ago
Becoming Human,https://becominghuman.ai/feed,ai-updates,STALE,200,10,2025-02-03,410,Last article 410 days ago
Berkshire Grey Blog,https://www.berkshiregrey.com/feed/,ai-updates,STALE,200,10,2026-02-18,31,Last article 31 days ago
DailyAI,https://dailyai.com/feed/,ai-updates,STALE,200,10,2025-05-12,312,Last article 312 days ago
Dan Rose AI Blog,https://www.danrose.ai/blog?format=rss,ai-updates,STALE,200,20,2023-05-24,1032,Last article 1032 days ago
DatumBox,http://blog.datumbox.com/feed/,ai-updates,STALE,200,30,2025-04-26,329,Last article 329 days ago
DeepCognition.ai Blog,https://deepcognition.ai/feed/,ai-updates,STALE,200,10,2025-12-18,93,Last article 93 days ago
DLabs.AI Blog,https://dlabs.ai/feed/,ai-updates,STALE,200,100,2026-02-10,39,Last article 39 days ago
ELEDIA E-AIR,http://www.eledia.org/e-air/feed/,ai-updates,STALE,200,9,2020-10-21,1976,Last article 1976 days ago
Francesco Corea (Medium),https://medium.com/feed/@Francesco_AI,ai-updates,STALE,200,2,2021-10-06,1627,Last article 1627 days ago
Freethink,https://www.freethink.com/feed/all,ai-updates,STALE,200,20,2025-12-09,102,Last article 102 days ago
Generational,https://www.generational.pub/feed,ai-updates,STALE,200,20,2026-01-06,73,Last article 73 days ago
Google AI Blog,http://googleaiblog.blogspot.com/atom.xml,ai-updates,STALE,200,25,2024-03-29,721,Last article 721 days ago
Kavita Ganesan,http://kavita-ganesan.com/feed/,ai-updates,STALE,200,15,2025-10-18,153,Last article 153 days ago
KocharTech,https://www.kochartech.com/feed/,ai-updates,STALE,200,10,2021-12-20,1552,Last article 1552 days ago
Kore.ai,https://blog.kore.ai/rss.xml,ai-updates,STALE,200,10,2025-10-27,144,Last article 144 days ago
Microsoft AI,https://blogs.microsoft.com/ai/feed,ai-updates,STALE,200,10,2022-12-06,1200,Last article 1200 days ago
Mozilla Foundation Blog,https://foundation.mozilla.org/en/blog/rss/,ai-updates,STALE,200,10,2025-02-20,393,Last article 393 days ago
NeuroSYS Blog - AI,https://neurosys.com/blog/category/ai/feed,ai-updates,STALE,200,12,2025-10-27,145,Last article 145 days ago
Neysa Newsroom,https://neysa.ai/feed/,ai-updates,STALE,200,4,2025-09-09,193,Last article 193 days ago
Pandio Blog,https://pandio.com/feed/,ai-updates,STALE,200,10,2023-11-16,855,Last article 855 days ago
Radix – Medium,https://medium.com/feed/radix-ai-blog,ai-updates,STALE,200,10,2024-02-12,768,Last article 768 days ago
RStudio AI Blog,https://blogs.rstudio.com/ai/index.xml,ai-updates,STALE,200,141,2025-08-19,214,Last article 214 days ago
SAAL,https://saal.ai/feed/,ai-updates,STALE,200,10,2026-02-17,32,Last article 32 days ago
Synced,https://syncedreview.com/feed,ai-updates,STALE,200,10,2025-08-14,219,Last article 219 days ago
Synthedia,https://synthedia.substack.com/feed,ai-updates,STALE,200,20,2024-08-04,593,Last article 593 days ago
The Gradient,https://thegradient.pub/rss/,ai-updates,STALE,200,15,2026-02-18,30,Last article 30 days ago
Unbabel Blog,https://unbabel.com/category/blog/feed/,ai-updates,STALE,200,10,2025-05-13,312,Last article 312 days ago
Unwind AI,https://unwindai.substack.com/feed,ai-updates,STALE,200,20,2024-07-28,601,Last article 601 days ago
Voicebot.ai,https://voicebot.ai/feed/,ai-updates,STALE,200,10,2024-06-18,641,Last article 641 days ago
Yatter Blog,https://yatter.in/feed/,ai-updates,STALE,200,10,2025-09-22,180,Last article 180 days ago
Zeroth Principles of AI,https://zerothprinciples.substack.com/feed,ai-updates,STALE,200,20,2025-05-05,320,Last article 320 days ago
AICorr.com,https://aicorr.com/feed/,ai-updates,DEAD,403,0,,,HTTP 403
AIwire,https://www.aiwire.net/feed/,ai-updates,DEAD,403,0,,,HTTP 403
Anaconda Blog,https://www.anaconda.com/blog/feed,ai-updates,DEAD,200,0,,,Empty feed (0 entries)
Analytics India Magazine,https://analyticsindiamag.com/feed/,ai-updates,DEAD,200,0,,,Parse error: <unknown>:2:0: syntax error
Analytics India Magazine - AI News,https://analyticsindiamag.com/ai-news-updates/feed/,ai-updates,DEAD,200,0,,,Parse error: <unknown>:2:0: syntax error
Artificial intelligence – SpaceNews,https://spacenews.com/tag/artificial-intelligence/feed/,ai-updates,DEAD,429,0,,,HTTP 429
arXiv cs.AI,https://rss.arxiv.org/rss/cs.AI,ai-updates,DEAD,200,0,,,Empty feed (0 entries)
arXiv cs.CL (NLP),https://arxiv.org/rss/cs.CL,ai-updates,DEAD,200,0,,,Empty feed (0 entries)
Contextual AI Blog,https://contextual.ai/blog/feed/,ai-updates,DEAD,200,0,,,Parse error: text/html; charset=utf-8 is not an XML media type
InfoWorld Analytics,https://www.infoworld.com/category/analytics/index.rss,ai-updates,DEAD,200,0,,,Parse error: <unknown>:36:0: undefined entity
Unite.AI,https://www.unite.ai/feed/,ai-updates,DEAD,200,0,,,Parse error: <unknown>:2:0: syntax error
Adweek - AI,https://www.adweek.com/category/artificial-intelligence/feed/,ai-business,ACTIVE,200,10,2026-03-20,1,
AI Business,https://aibusiness.com/rss.xml,ai-business,ACTIVE,200,50,2026-03-20,0,
AI Now Institute,https://ainowinstitute.org/category/news/feed,ai-business,ACTIVE,200,10,2026-03-11,10,
AI – AI-TechPark,https://ai-techpark.com/category/ai/feed/,ai-business,ACTIVE,200,10,2026-03-20,1,
Artificial Lawyer,https://www.artificiallawyer.com/feed/,ai-business,ACTIVE,200,10,2026-03-20,1,
Big Data Analytics News - AI,https://bigdataanalyticsnews.com/category/artificial-intelligence/feed/,ai-business,ACTIVE,200,10,2026-03-06,15,
Bloomberg Technology,https://feeds.bloomberg.com/technology/news.rss,ai-business,ACTIVE,200,30,2026-03-21,0,
Business Insider,https://feeds.businessinsider.com/custom/all,ai-business,ACTIVE,200,20,2026-03-21,0,
Business Latest (WIRED),https://www.wired.com/feed/category/business/latest/rss,ai-business,ACTIVE,200,20,2026-03-21,0,
CNBC Tech,https://search.cnbc.com/rs/search/combinedcms/view.xml?partnerId=wrss01&id=19854910,ai-business,ACTIVE,200,30,2026-03-21,0,
Computerworld - AI,https://www.computerworld.com/artificial-intelligence/feed/,ai-business,ACTIVE,200,20,2026-03-20,0,
Crunchbase News,https://news.crunchbase.com/feed,ai-business,ACTIVE,200,10,2026-03-20,0,
Crunchbase News - AI,https://news.crunchbase.com/sections/ai/feed/,ai-business,ACTIVE,200,10,2026-03-20,0,
Databricks Blog,https://www.databricks.com/feed,ai-business,ACTIVE,200,10,2026-03-20,0,
Datafloq,https://datafloq.com/feed/?post_type=post,ai-business,ACTIVE,200,10,2026-03-18,3,
Deep Tech – Tech.eu,https://tech.eu/category/deep-tech/feed,ai-business,ACTIVE,200,15,2026-03-19,2,
Edmonton Journal - AI,https://edmontonjournal.com/tag/artificial-intelligence/feed.xml,ai-business,ACTIVE,200,28,2026-03-04,16,
eWeek - AI,https://www.eweek.com/feed/,ai-business,ACTIVE,200,10,2026-03-20,0,
Fast Company - AI,https://www.fastcompany.com/section/artificial-intelligence/rss,ai-business,ACTIVE,200,15,2026-03-20,1,
Federal News Network - AI,https://federalnewsnetwork.com/category/technology-main/artificial-intelligence/feed/,ai-business,ACTIVE,200,15,2026-03-20,0,
Financial Times - AI,https://www.ft.com/artificial-intelligence?format=rss,ai-business,ACTIVE,200,25,2026-03-21,0,
Forrester – AI,https://www.forrester.com/blogs/category/artificial-intelligence-ai/feed,ai-business,ACTIVE,200,10,2026-03-19,1,
France 24 - AI,https://www.france24.com/en/tag/artificial-intelligence/rss,ai-business,ACTIVE,200,24,2026-03-21,0,
Global News – AI,https://globalnews.ca/tag/artificial-intelligence/feed,ai-business,ACTIVE,200,10,2026-03-18,3,
Government Technology - AI,https://www.govtech.com/artificial-intelligence.rss,ai-business,ACTIVE,200,10,2026-03-20,0,
IEEE Spectrum – AI,https://spectrum.ieee.org/feeds/topic/artificial-intelligence.rss,ai-business,ACTIVE,200,30,2026-03-20,0,
InfoWorld - AI,https://www.infoworld.com/artificial-intelligence/feed/,ai-business,ACTIVE,200,20,2026-03-20,0,
International Business Times,https://www.ibtimes.com/rss,ai-business,ACTIVE,200,25,2026-03-21,0,
Meta News,https://about.fb.com/feed,ai-business,ACTIVE,200,10,2026-03-19,2,
Microsoft - AI,https://news.microsoft.com/source/topics/ai/feed/,ai-business,ACTIVE,200,10,2026-03-10,11,
Microsoft Research,https://www.microsoft.com/en-us/research/feed/,ai-business,ACTIVE,200,10,2026-03-12,8,
Mint - AI,https://www.livemint.com/rss/AI,ai-business,ACTIVE,200,35,2026-03-21,0,
NYT Technology,https://rss.nytimes.com/services/xml/rss/nyt/Technology.xml,ai-business,ACTIVE,200,25,2026-03-21,0,
Rest of World – Latest Stories,https://restofworld.org/feed/latest,ai-business,ACTIVE,200,12,2026-03-20,0,
Reuters via Google News,https://news.google.com/rss/search?q=site%3Areuters.com+technology&hl=en-US&gl=US&ceid=US%3Aen,ai-business,ACTIVE,200,100,2026-03-20,0,
Robotics – Tech.eu,https://tech.eu/category/robotics/feed,ai-business,ACTIVE,200,15,2026-03-09,12,
Scripps News - AI,https://www.scrippsnews.com/science-and-tech/artificial-intelligence.rss,ai-business,ACTIVE,200,42,2026-03-09,12,
Silicon Republic,https://www.siliconrepublic.com/feed,ai-business,ACTIVE,200,20,2026-03-20,1,
Tech Monitor,https://techmonitor.ai/feed,ai-business,ACTIVE,200,10,2026-03-20,1,
TechCrunch (main),https://techcrunch.com/feed/,ai-business,ACTIVE,200,20,2026-03-21,0,
Techmeme,https://www.techmeme.com/feed.xml,ai-business,ACTIVE,200,15,2026-03-21,0,
WSJ Tech,https://feeds.content.dowjones.io/public/rss/RSSWSJD,ai-business,ACTIVE,200,40,2026-03-21,0,
ZDNET – AI,https://www.zdnet.com/topic/artificial-intelligence/rss.xml,ai-business,ACTIVE,200,20,2026-03-21,0,
ZDNET – Big Data,https://www.zdnet.com/topic/big-data/rss.xml,ai-business,ACTIVE,200,20,2026-03-21,0,
1redDrop - AI,https://1reddrop.com/category/artificial-intelligence/feed/,ai-business,STALE,200,15,2025-03-02,383,Last article 383 days ago
Marketing AI Institute Blog,https://www.marketingaiinstitute.com/blog/rss.xml,ai-business,STALE,200,10,2026-01-30,50,Last article 50 days ago
Top Marketing AI,https://topmarketingai.com/feed/,ai-business,STALE,200,10,2024-01-28,783,Last article 783 days ago
VentureBeat,https://venturebeat.com/category/ai/feed/,ai-business,STALE,200,7,2026-01-22,58,Last article 58 days ago
Datanami,https://www.datanami.com/feed/,ai-business,DEAD,403,0,,,HTTP 403
GeekWire - AI,https://www.geekwire.com/tag/ai/feed/,ai-business,DEAD,403,0,,,HTTP 403
Latest from Sifted,https://sifted.eu/feed/?post_type=article,ai-business,DEAD,403,0,,,HTTP 403
TechCrunch AI,https://techcrunch.com/category/artificial-intelligence/feed/,ai-business,DEAD,403,0,,,HTTP 403
Analytics Vidhya Blog,https://www.analyticsvidhya.com/feed/,ai-dev,ACTIVE,200,10,2026-03-21,0,
AWS Blog - Machine Learning/AI,https://aws.amazon.com/blogs/machine-learning/category/artificial-intelligence/feed/,ai-dev,ACTIVE,200,20,2026-03-19,1,
AWS DevOps,https://aws.amazon.com/blogs/devops/feed/,ai-dev,ACTIVE,200,20,2026-03-05,15,
AWS Machine Learning,https://aws.amazon.com/blogs/machine-learning/feed/,ai-dev,ACTIVE,200,20,2026-03-19,1,
Blog – PyImageSearch,https://pyimagesearch.com/blog/feed,ai-dev,ACTIVE,200,9,2026-03-16,5,
ByteByteGo,https://blog.bytebytego.com/feed,ai-dev,ACTIVE,200,20,2026-03-21,0,
Databricks Docs,https://docs.databricks.com/aws/en/feed.xml,ai-dev,ACTIVE,200,579,2026-03-19,2,
DebuggerCafe,https://debuggercafe.com/feed/,ai-dev,ACTIVE,200,10,2026-03-16,5,
Deephaven Blog,https://deephaven.io/blog/rss.xml,ai-dev,ACTIVE,200,15,2026-03-19,2,
DEV Community,https://dev.to/feed,ai-dev,ACTIVE,200,12,2026-03-21,0,
Explosion,https://explosion.ai/feed,ai-dev,ACTIVE,200,387,2026-02-24,25,
Gradient Flow,https://gradientflow.com/feed/,ai-dev,ACTIVE,200,10,2026-03-20,0,
Hacker News Front Page,https://hnrss.org/frontpage,ai-dev,ACTIVE,200,20,2026-03-21,0,
HashiCorp Blog,https://www.hashicorp.com/blog/feed.xml,ai-dev,ACTIVE,200,20,2026-03-10,11,
Hugging Face Blog,https://huggingface.co/blog/feed.xml,ai-dev,ACTIVE,200,750,2026-03-20,0,
"InfoQ – AI, ML & Data Engineering",https://feed.infoq.com/ai-ml-data-eng/,ai-dev,ACTIVE,200,15,2026-03-20,1,
Interconnects,https://www.interconnects.ai/feed,ai-dev,ACTIVE,200,20,2026-03-18,3,
KDnuggets,https://www.kdnuggets.com/feed,ai-dev,ACTIVE,200,10,2026-03-20,1,
Kubernetes Blog,https://kubernetes.io/feed.xml,ai-dev,ACTIVE,200,50,2026-03-20,0,
LangChain,https://blog.langchain.dev/rss/,ai-dev,ACTIVE,200,15,2026-03-19,1,
Latent Space,https://www.latent.space/feed,ai-dev,ACTIVE,200,20,2026-03-20,0,
Machine Learning Mastery Blog,https://machinelearningmastery.com/blog/feed/,ai-dev,ACTIVE,200,10,2026-03-05,16,
Max Woolf's Blog,https://minimaxir.com/post/index.xml,ai-dev,ACTIVE,200,10,2026-02-27,21,
Meta Engineering,https://engineering.fb.com/feed,ai-dev,ACTIVE,200,9,2026-03-18,2,
Nanonets Blog,https://nanonets.com/blog/rss,ai-dev,ACTIVE,200,15,2026-03-14,7,
Nicholas Carlini,https://nicholas.carlini.com/writing/feed.xml,ai-dev,ACTIVE,200,40,2026-03-09,12,
NVIDIA Developer,https://developer.nvidia.com/blog/feed,ai-dev,ACTIVE,200,100,2026-03-18,3,
Product Hunt,https://www.producthunt.com/feed,ai-dev,ACTIVE,200,50,2026-03-20,0,
R-bloggers,https://feeds.feedburner.com/RBloggers,ai-dev,ACTIVE,200,25,2026-03-20,0,
Replicate Blog,https://replicate.com/blog/rss,ai-dev,ACTIVE,200,120,2026-02-24,25,
Simon Willison's Weblog,https://simonwillison.net/atom/everything/,ai-dev,ACTIVE,200,30,2026-03-20,0,
Stack Overflow Blog,https://stackoverflow.blog/feed/,ai-dev,ACTIVE,200,40,2026-03-20,1,
The New Stack,https://thenewstack.io/feed,ai-dev,ACTIVE,200,26,2026-03-21,0,
Towards AI – Medium,https://pub.towardsai.net/feed,ai-dev,ACTIVE,200,10,2026-03-21,0,
Towards Data Science,https://towardsdatascience.com/feed,ai-dev,ACTIVE,200,20,2026-03-21,0,
Wolfram Blog,https://blog.wolfram.com/feed/,ai-dev,ACTIVE,200,9,2026-03-11,9,
Chip Huyen,https://huyenchip.com/feed,ai-dev,STALE,200,10,2025-01-16,429,Last article 429 days ago
DagsHub Blog,https://dagshub.com/blog/rss/,ai-dev,STALE,200,15,2026-01-21,59,Last article 59 days ago
Data Machina,https://datamachina.substack.com/feed,ai-dev,STALE,200,20,2024-07-23,606,Last article 606 days ago
David Stutz Blog,https://davidstutz.de/category/blog/feed,ai-dev,STALE,200,10,2025-10-04,167,Last article 167 days ago
EleutherAI Blog,https://blog.eleuther.ai/index.xml,ai-dev,STALE,200,49,2025-10-07,165,Last article 165 days ago
Eugene Yan,https://eugeneyan.com/rss/,ai-dev,STALE,200,209,2025-12-14,97,Last article 97 days ago
